value
3
42
42
128
3
128
128
128
128
42
128
3
42
42
128
3
3
3
128
42
42
128
42
128
3
128
42
128
42
128
3
128
3
3
3
42
42
42
128
128
42
42
3
128
128
3
3
42
128
3
42
128
223
42
42
128
128
3
3
42
128
3
42
128
42
3
3
128
128
42
128
3
128
128
42
128
3
128
42
42
42
128
42
42
3
3
128
42
3
128
128
128
3
128
3
3
3
128
128
128
42
42
42
3
3
128
128
128
3
42
42
128
3
128
128
3
3
42
128
128
42
128
42
42
128
3
128
3
42
42
128
3
128
3
42
42
42
42
42
42
128
3
3
42
128
3
3
128
128
3
128
128
42
128
3
128
3
42
42
3
42
3
128
42
3
3
3
42
3
128
42
42
128
128
128
42
42
3
128
42
128
128
128
42
42
42
3
42
128
128
128
42
42
42
42
128
3
128
42
3
128
42
3
128
42
42
128
3
128
42
42
3
128
128
128
128
128
42
128
42
3
3
42
3
42
3
128
128
42
42
42
3
42
42
42
128
3
128
128
128
3
3
3
3
42
128
42
42
3
3
128
128
128
3
3
42
42
128
128
128
128
42
42
42
42
128
3
3
42
3
3
42
128
3
128
42
3
3
3
128
128
42
128
3
3
128
42
42
3
128
128
3
3
3
3
128
42
128
128
42
42
128
128
3
3
3
128
128
42
3
3
42
42
42
128
42
42
128
128
128
42
128
128
128
128
42
3
42
3
128
3
3
3
3
3
3
3
42
42
128
42
42
3
3
128
128
42
3
128
3
42
42
42
3
3
128
3
3
3
128
42
3
3
3
128
42
128
3
128
128
3
3
3
128
42
128
42
3
3
128
3
42
128
3
42
128
3
128
3
3
42
128
0
128
42
42
42
42
42
3
128
128
3
42
3
3
128
128
128
42
128
128
42
3
128
42
128
128
42
128
42
3
3
3
42
128
3
42
3
3
42
128
42
128
42
128
128
3
42
42
42
42
128
128
42
42
42
128
3
3
3
128
3
128
42
3
128
42
3
128
42
3
128
128
128
42
128
42
3
42
42
42
128
42
3
3
128
42
42
3
128
42
42
3
128
3
128
128
3
128
128
128
128
3
42
128
42
128
42
128
3
128
128
128
128
3
42
42
128
3
42
42
3
42
3
3
3
128
128
3
42
42
42
3
128
3
128
128
3
42
3
128
3
3
3
42
3
3
128
42
128
128
3
42
128
42
3
42
3
3
128
128
42
42
42
42
128
3
3
128
128
3
128
128
128
128
42
128
3
128
42
3
128
3
3
128
3
3
3
128
42
42
42
42
3
128
3
3
42
128
128
42
128
42
42
3
42
42
128
42
128
128
3
128
3
128
42
3
42
128
128
42
128
42
128
128
128
128
128
128
3
128
3
128
3
128
128
3
3
42
3
128
42
3
3
128
3
3
3
3
42
3
42
128
42
3
42
3
42
42
42
128
3
42
128
128
42
42
3
128
3
42
3
3
42
128
42
128
3
3
3
42
42
128
3
128
3
3
42
128
3
3
128
128
3
128
3
42
128
128
42
42
3
42
128
128
128
128
42
128
128
3
3
128
42
128
128
3
3
42
128
42
128
42
128
3
128
42
42
3
42
42
3
42
42
42
128
128
128
3
128
3
3
3
128
42
128
128
128
42
128
3
128
42
3
128
3
3
3
42
3
128
128
42
42
42
128
3
128
128
128
42
42
42
128
3
3
42
128
128
128
